A1,A2,A3,A4,stop_id,stop_name,stop_lat,stop_lon,verification_status,stop_remarks,stop_code,old_stop_id,stop_id_stepp,public_visible,location_type,zone_shift,stop_url,parent_station,wheelchair_boarding,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2,zone_id,stop_timezone,level_id,platform_code
0,0,0,1,100166,CAMINHO VAZA BORRACHAS 47,38.695300000,-8.922330000,,,100166,,1074,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100167,ESTR DO BREJO COMPRIDO 4307,38.688900000,-8.914930000,,,100167,,118955,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100169,CM1123 (QTA DA FLOR),38.695400000,-8.916670000,,,100169,,118954,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100171,ATALAIA (R EMIGRANTE 37),38.695200000,-8.928670000,,,100171,,1075,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100172,ATALAIA (R EMIGRANTE 37),38.695200000,-8.928600000,,,100172,,1075,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100173,AFONSOEIRO (EN 5 36),38.697600000,-8.955130000,,,100173,,32861,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100174,AFONSOEIRO (EN 5 36),38.697600000,-8.955070000,,,100174,,32861,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100175,AFONSOEIRO (R VASCO DA GAMA 99),38.694500000,-8.952080000,,,100175,,32860,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100176,AFONSOEIRO (R VASCO DA GAMA 99),38.694600000,-8.952020000,,,100176,,32860,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100177,SARILHOS APEADEIRO (EN11) X CEMITÉRIO,38.685800000,-8.946580000,,,100177,,32845,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
0,0,0,1,100178,SARILHOS APEADEIRO (EN11) X CEMITÉRIO,38.685700000,-8.946580000,,,100178,,32845,1,0,,,,,,,,,,,,,,,,,,PT170,1507,,,,,,
